Job Title,Company Name,Required Skills
Software Development Engineer (SDE),"Google, Amazon, Flipkart, Myntra, Meesho, Microsoft, Cisco, Oracle, Intuit, Visa","Java, C++, Python, Data Structures, Algorithms, System Design, SQL, Git"
Frontend Engineer,"Google, Amazon, Flipkart, Myntra, Meesho, Microsoft, Cisco, Oracle, Intuit, Visa","JavaScript, TypeScript, React, HTML5/CSS3, Redux, REST API, Git"
Backend Engineer,"Google, Amazon, Flipkart, Myntra, Meesho, Microsoft, Cisco, Oracle, Intuit, Visa","Python, Java, Node.js, C++, SQL, MongoDB, AWS, Docker, REST API"
Full Stack Developer,"Google, Amazon, Flipkart, Myntra, Meesho, Microsoft, Cisco, Oracle, Intuit, Visa","JavaScript, React, Node.js, Python, Java, SQL, MongoDB, AWS, Git"
Data Analyst,"Google, Amazon, Flipkart, Myntra, Meesho, Microsoft, Cisco, Oracle, Intuit, Visa","Python, SQL, Pandas, NumPy, PowerBI, Tableau, Excel"
DevOps Engineer,"Google, Amazon, Flipkart, Myntra, Meesho, Microsoft, Cisco, Oracle, Intuit, Visa","AWS, Azure, GCP, Docker, Kubernetes, CI/CD, Linux, Git, Python"
Product Manager,"Google, Amazon, Flipkart, Myntra, Meesho, Microsoft, Cisco, Oracle, Intuit, Visa","Product Strategy, Agile/Scrum, Data Analytics, SQL, Roadmapping, A/B Testing, User Research"
UX/UI Designer,"Google, Amazon, Flipkart, Myntra, Meesho, Microsoft, Cisco, Oracle, Intuit, Visa","Figma, User Research, Wireframing, Prototyping, UI Design, Design Systems, HTML5/CSS3"
Data Scientist,"Google, Amazon, Flipkart, Myntra, Meesho, Microsoft, Cisco, Oracle, Intuit, Visa","Python, R, SQL, Machine Learning, Pandas, NumPy, Scikit-Learn, Statistics, Tableau"
Machine Learning Engineer,"Google, Amazon, Flipkart, Myntra, Meesho, Microsoft, Cisco, Oracle, Intuit, Visa","Python, PyTorch, TensorFlow, Machine Learning, Deep Learning, SQL, Docker, Algorithms, C++"
QA Automation Engineer,"Google, Amazon, Flipkart, Myntra, Meesho, Microsoft, Cisco, Oracle, Intuit, Visa","Python, Java, Selenium, PyTest, API Testing, Postman, Git, CI/CD"
Security Engineer,"Google, Amazon, Flipkart, Myntra, Meesho, Microsoft, Cisco, Oracle, Intuit, Visa","Network Security, Cryptography, Python, Linux, Penetration Testing, Cloud Security, OWASP"
Mobile Engineer,"Google, Amazon, Flipkart, Myntra, Meesho, Microsoft, Cisco, Oracle, Intuit, Visa","Kotlin, Swift, Flutter, React Native, Java, REST API, Git, iOS/Android"
